	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	image_id	image_type	is_thresholded	is_valid	map_type	modality	modify_date	name	not_mni	number_of_subjects	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	url
0	2016-01-21T17:23:18.976199Z	group	95.5064490575	feedback	cnt_55399e161c884	Probabilistic classification task	trm_4cacf22a22d80	http://neurovault.org/collections/40/	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task001_cope02_feedback.nii.gz	874740	136	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:18.976217Z	task001_002_feedback.nii.gz	False	17	74.7205108633	12.9680813302	http://neurovault.org/media/images/40/transform_4mm_136.npy			http://neurovault.org/media/images/40/glass_brain_136.jpg	http://neurovault.org/images/136/
1	2016-01-21T17:22:49.027226Z	group	99.9886205976	0-back Face	cnt_55314b49e5c9d	working memory fMRI task paradigm	trm_550b50095d4a3	http://neurovault.org/collections/457/	457	0-back Face		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_FACE_zstat1.nii.gz	1184134	3186	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:49.027244Z	tfMRI WM 0BK FACE zstat1	False	486	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3186.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3186.jpg	http://neurovault.org/images/3186/
2	2016-01-21T17:21:38.793083Z	group	81.4101505622	left audio click	cnt_553e85f11747b	functional localizer fMRI tasks	trm_553e85265f51e	http://neurovault.org/collections/94/	94	left audio click		Left button press with auditory cue		http://neurovault.org/media/images/94/left_button_press_auditory_cue_1.nii.gz	214325	420	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:00:09.758854Z	Left Button Press Auditory Cue	False	94	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_420.npy		93.0	http://neurovault.org/media/images/94/glass_brain_420_1.jpg	http://neurovault.org/images/420/
3	2016-01-21T17:21:38.141138Z	group	100.0	single task classification learning trials	cnt_4ebcaa755a7e5	single-task weather prediction 	trm_4ebc728326a13	http://neurovault.org/collections/43/	43	single-task classification learning trials		FSL5.0		http://neurovault.org/media/images/43/task002_cope01_single-task%20classification.nii.gz	878224	165	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:59.494763Z	task002_001_single-task classification	False	14	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_165.npy			http://neurovault.org/media/images/43/glass_brain_165_1.jpg	http://neurovault.org/images/165/
4	2016-01-21T17:21:53.438222Z	group	99.9886205976	Cue	cnt_55315226076d3	motor fMRI task paradigm	trm_550b53d7dd674	http://neurovault.org/collections/457/	457	Cue		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_CUE_zstat1.nii.gz	1168682	3154	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:21:53.438253Z	tfMRI MOTOR CUE zstat1	False	486	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3154.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3154.jpg	http://neurovault.org/images/3154/
5	2016-01-21T17:22:52.354068Z		99.9623604382	pumps average real reaction time	cnt_55399fa95aaee	balloon analogue risk task (BART)	trm_4d559bcd67c18	http://neurovault.org/collections/39/	39	pumps average real reaction time		FSL5.0		http://neurovault.org/media/images/39/task001_cope03_pumps_fixed_real_RT.nii.gz	874892	116	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:45:14.502202Z	task001 pumps average real RT	False	16	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_116.npy			http://neurovault.org/media/images/39/glass_brain_116.jpg	http://neurovault.org/images/116/
6	2016-01-21T17:23:18.955643Z	group	92.0348559849	reappraise negative stimulus minus attend negative stimulus	cnt_553a6ed942692	emotional regulation task	trm_4da890594742a	http://neurovault.org/collections/425/	425	Reapp_Neg_Stim_gt_Look_Neg_Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope024_tstat1.nii.gz	810986	2866	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:18.955662Z	task001 cope024 tstat1	False	34	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_2866.npy			http://neurovault.org/media/images/425/glass_brain_2866.jpg	http://neurovault.org/images/2866/
7	2016-01-21T17:23:03.778594Z	group	100.0	tone counting trials	cnt_4ebca9e1d3a16	tone counting	trm_4ebc6a6b75ebf	http://neurovault.org/collections/43/	43	tone counting trials		FSL5.0		http://neurovault.org/media/images/43/task001_cope01_tone%20counting.nii.gz	877090	159	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:03.778616Z	task001_001_tone counting.nii.gz	False	14	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_159.npy			http://neurovault.org/media/images/43/glass_brain_159.jpg	http://neurovault.org/images/159/
8	2016-01-21T17:22:26.912116Z	group	95.6022986393	deterministic classification trials	cnt_4ebca72d737c1	deterministic classification	trm_4e8dd3831f0cc	http://neurovault.org/collections/40/	40	task		FSL5.0		http://neurovault.org/media/images/40/task002_cope01_task.nii.gz	878329	135	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:26.912138Z	task002_001_task.nii.gz	False	17	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_135.npy			http://neurovault.org/media/images/40/glass_brain_135.jpg	http://neurovault.org/images/135/
9	2016-01-21T17:21:38.098799Z	group	98.820918843	negative feedback	cnt_553a682f464e7	Probabilistic classification task	trm_4cacf22a22d80	http://neurovault.org/collections/44/	44	negative feedback		FSL5.0		http://neurovault.org/media/images/44/task001_cope02_negative%20feedback.nii.gz	870987	172	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:58.133701Z	task001_002_negative feedback.nii.gz	False	14	74.9854037484	0.0	http://neurovault.org/media/images/44/transform_4mm_172.npy			http://neurovault.org/media/images/44/glass_brain_172_1.jpg	http://neurovault.org/images/172/
10	2016-01-21T17:21:54.152958Z		100.0	parametric gain	cnt_5181f79e38fb2	mixed gambles task	trm_4cacee4a1d875	http://neurovault.org/collections/3/	3	parametric gain		Parametric effect of gains		http://neurovault.org/media/images/3/task001_cope02_parametric%20gain.nii.gz	873234	4	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:43:05.321499Z	task001_cope02_parametric gain	False	16	74.6869422542	0.0	http://neurovault.org/media/images/3/transform_4mm_4.npy			http://neurovault.org/media/images/3/glass_brain_4.jpg	http://neurovault.org/images/4/
11	2016-01-21T17:22:22.575089Z	group	99.926909223	failed stop-noncritical 	cnt_4ebca22149619	conditional stop signal task	trm_4cacf3fbc503b	http://neurovault.org/collections/42/	42	failed stop-noncritical		FSL5.0		http://neurovault.org/media/images/42/task002_cope05_failed%20stop-noncritical.nii.gz	878341	154	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:22.575121Z	task002 005 failed stop-noncritical	False	15	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_154.npy			http://neurovault.org/media/images/42/glass_brain_154.jpg	http://neurovault.org/images/154/
