	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	download_url	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
21	10.1038/nn.3673		2014-03-25T20:52:35.182187Z	Tom Schonberg, Akram Bakkour, Ashleigh M Hover, Jeanette A Mumford, Lakshya Nagar, Jacob Perez and Russell A Poldrack						2014-03-25T20:52:35.182187Z	http://neurovault.org/collections/35/download			3.0														right			35								Nature Neuroscience					2016-01-27T21:47:42.229891Z					Changing value through cued approach: an automatic mechanism of behavior change			4									52	tomtom	http://www.nature.com/doifinder/10.1038/nn.3673			Multiband				Siemens	Skyra														eventrelated	http://neurovault.org/collections/35/												
24	10.1073/pnas.0905267106		2016-01-02T04:09:40.658881Z	S. M. Smith, P. T. Fox, K. L. Miller, D. C. Glahn, P. M. Fox, C. E. Mackay, N. Filippini, K. E. Watkins, R. Toro, A. R. Laird and C. F. Beckmann						2016-01-02T04:29:57.184430Z	http://neurovault.org/collections/1054/download																				1054								Proceedings of the National Academy of Sciences					2016-02-29T09:30:44.629814Z					Correspondence of the brain's functional architecture during activation and rest			40									1	ChrisFiloGorgolewski	http://www.pnas.org/cgi/doi/10.1073/pnas.0905267106																							http://neurovault.org/collections/1054/												
29	10.1038/ncomms8751		2016-05-03T06:38:04.016016Z	Fikret Işik Karahanoğlu and Dimitri Van De Ville						2016-05-03T06:38:04.015516Z	http://neurovault.org/collections/1345/download																				1345								Nature Communications					2016-05-03T06:38:04.016038Z					Transient brain activity disentangles fMRI resting-state dynamics in terms of spatially and temporally overlapping networks			0									251	dvdevill	http://www.nature.com/doifinder/10.1038/ncomms8751																							http://neurovault.org/collections/1345/												
38	10.1016/j.neuroimage.2013.09.069		2014-08-26T13:25:34.036905Z	Andreas Horn, Dirk Ostwald, Marco Reisert and Felix Blankenburg					The maps show indices of whole-brain structure-function overlap measured in a voxel-wise fashion within whole-brain grey matter. Structural connectivity as estimated by local and global fiber tracking, as well as functional connectivity as estimated by fMRI resting-state correlations have been compared for each voxel. Thus, voxels with high intensity show high correlation between their whole-brain structural and functional connectivity to the rest of the brain.	2014-08-26T13:25:34.036905Z	http://neurovault.org/collections/109/download																				109								NeuroImage					2015-09-15T03:47:06.956343Z					The structural–functional connectome and the default mode network of the human brain			0									110	andreashorn	http://linkinghub.elsevier.com/retrieve/pii/S1053811913010057																							http://neurovault.org/collections/109/												
46	10.1016/j.remnie.2013.09.003		2016-02-18T20:48:41.474488Z	F.J. García-Gómez, D. García-Solís, F.J. Luis-Simón, V.A. Marín-Oyaga, F. Carrillo, P. Mir and R.J. Vázquez-Albertino						2016-02-18T20:48:41.473998Z	http://neurovault.org/collections/1194/download					http://www.nitrc.org/projects/spmtemplates/															1194								Revista Española de Medicina Nuclear e Imagen Molecular (English Edition)					2016-02-18T21:29:49.553208Z					Elaboration of the SPM template for the standardization of SPECT images with 123I-Ioflupane			2									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S2253808913001201																							http://neurovault.org/collections/1194/												
59	10.1038/nn1075		2016-01-03T03:44:26.503044Z	T E J Behrens, H Johansen-Berg, M W Woolrich, S M Smith, C A M Wheeler-Kingshott, P A Boulby, G J Barker, E L Sillery, K Sheehan, O Ciccarelli, A J Thompson, J M Brady and P M Matthews						2016-01-03T04:02:54.689704Z	http://neurovault.org/collections/1056/download																				1056								Nature Neuroscience					2016-06-13T08:42:56.468899Z					Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging			20									1	ChrisFiloGorgolewski	http://www.nature.com/doifinder/10.1038/nn1075																							http://neurovault.org/collections/1056/												
64	10.1523/JNEUROSCI.1314-15.2015		2015-10-05T20:34:12.508819Z	E. B. Simon, N. Oren, H. Sharon, A. Kirschner, N. Goldway, H. Okon-Singer, R. Tauman, M. M. Deweese, A. Keil and T. Hendler						2015-10-05T20:34:12.507634Z	http://neurovault.org/collections/865/download											randommixedeffects				True					865								Journal of Neuroscience					2015-10-05T20:34:12.508893Z				SPM	Losing Neutrality: The Neural Basis of Impaired Emotional Control without Sleep			0						interleaved			576	etibens	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.1314-15.2015					3.0		GE				SPM			SPM	8							blocked	http://neurovault.org/collections/865/	True		True		True	True				True		False
66	10.1371/journal.pone.0118733		2015-12-24T05:20:29.943084Z	Yao Wang, Yan Yin, Ya-wen Sun, Yan Zhou, Xue Chen, Wei-na Ding, Wei Wang, Wei Li, Jian-rong Xu, Ya-song Du and Martin Walter						2015-12-24T05:25:36.038635Z	http://neurovault.org/collections/1039/download																				1039								PLOS ONE					2016-08-13T06:27:10.236463Z					Decreased Prefrontal Lobe Interhemispheric Functional Connectivity in Adolescents with Internet Gaming Disorder: A Primary Study Using Resting-State fMRI			41									1	ChrisFiloGorgolewski	http://dx.plos.org/10.1371/journal.pone.0118733																							http://neurovault.org/collections/1039/												
68	10.1093/cercor/bhu217		2015-10-05T22:33:18.149819Z	B. T. Thomas Yeo, Fenna M. Krienen, Simon B. Eickhoff, Siti N. Yaakub, Peter T. Fox, Randy L. Buckner, Christopher L. Asplund and Michael W.L. Chee						2015-10-05T22:33:18.148705Z	http://neurovault.org/collections/866/download					https://surfer.nmr.mgh.harvard.edu/fswiki/BrainmapOntology_Yeo2015															866								Cerebral Cortex					2016-05-14T05:06:10.705948Z					Functional Specialization and Flexibility in Human Association Cortex			70									15	yeoyeo02	http://www.cercor.oxfordjournals.org/lookup/doi/10.1093/cercor/bhu217																							http://neurovault.org/collections/866/												
71	10.1016/j.nicl.2012.09.013		2016-02-18T21:01:29.581883Z	Heiko Neeb, Jochen Schenk and Bernd Weber						2016-02-18T21:01:29.581376Z	http://neurovault.org/collections/1195/download																				1195								NeuroImage: Clinical					2016-02-18T21:07:48.125153Z					Multicentre absolute myelin water content mapping: Development of a whole brain atlas and application to low-grade multiple sclerosis			1									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S2213158212000186																							http://neurovault.org/collections/1195/												
